om_nombreVia;om_longitudVia;om_tipoVia;om_tieneCodigoVia;om_puntoFinalVia_long;om_puntoFinalVia_lat;om_puntoInicioVia_lat;om_puntoInicioVia_long;om_puntoMedioVia_lat;om_puntoMedioVia_long;om_situadaEnBarrio_label
Nuestra Señora De La Asuncion;55.79;Calle;2713;-6.375442;39.476083;39.475583;-6.375842;39.47583;-6.375666;Casas Baratas
Reconquista;96.11;Calle;407;-6.375242;39.476483;39.475883;-6.376142;39.476182;-6.375723;Casas Baratas
Barrio De Luna;61.91;Calle;1586;-6.374042;39.477983;39.477583;-6.374742;39.477764;-6.374361;Margallo
Nueva;231.01;Calle;351;-6.374442;39.477483;39.475483;-6.375342;39.476512;-6.375164;Margallo
Castillo;84.56;Calle;116;-6.373542;39.475083;39.474683;-6.374242;39.474933;-6.373875;San Juan
Alzapiernas;35.06;Calle;1038;-6.373042;39.475183;39.474983;-6.373542;39.475072;-6.373242;Margallo
De Los Golfines;68.1;Plaza;3128;-6.370042;39.474383;39.474083;-6.370442;39.474184;-6.37023;Ciudad Monumental
Del Maestre;53.42;Custa;292;-6.369042;39.475783;39.475383;-6.369542;39.475532;-6.369261;Santiago
Obras Pias De Roco;52.49;Calle;2483;-6.369142;39.475283;39.474883;-6.369742;39.475021;-6.369362;Santiago
Gallegos;134.78;Calle;204;-6.373042;39.473483;39.472183;-6.373242;39.472843;-6.373047;San Juan
Hornos;112.26;Calle;247;-6.371942;39.472283;39.471683;-6.373142;39.471985;-6.372568;Santa Clara
San Ildefonso;143.32;Calle;433;-6.370042;39.471583;39.470383;-6.370742;39.471093;-6.370172;Santa Clara
San Roque;162.77;Calle;450;-6.368242;39.472883;39.471783;-6.369542;39.472291;-6.368976;San Francisco
San Marquino;91.14;Calle;443;-6.365842;39.473283;39.472683;-6.366542;39.473052;-6.365995;San Marquino
Neptuno;81.36;Calle;344;-6.365442;39.473583;39.473183;-6.366442;39.47332;-6.36588;San Marquino
Derechos Humanos;179.15;Calle;3661;-6.364642;39.474083;39.473583;-6.366742;39.473998;-6.365599;San Marquino
Puente Vadillo;1229.52;Ronda;398;-6.357942;39.481183;39.474383;-6.366842;39.479865;-6.362913;Ribera del Marco
Buitrera;117.27;Calle;3909;-6.363842;39.473283;39.472783;-6.364742;39.473129;-6.364225;San Marquino
Valdeflores;86.75;Calle;3908;-6.363442;39.473683;39.472783;-6.363542;39.473238;-6.363466;San Marquino
Galilea;83.86;Calle;3510;-6.367342;39.477683;39.477083;-6.368142;39.477326;-6.367717;Santiago
Bailen;162.78;Calle;72;-6.369342;39.478983;39.478283;-6.370042;39.478597;-6.369738;San Blas
Trujillo;208.79;Calle;3550;-6.367042;39.478183;39.477583;-6.369442;39.477851;-6.368232;San Blas
Sorolla;83.33;Calle;478;-6.365442;39.483683;39.483083;-6.366142;39.483373;-6.365826;San Jorge
Santa Rita;122.1;Calle;2001;-6.366642;39.479583;39.478483;-6.366842;39.478959;-6.366656;San Blas
Malaga;147.08;Calle;3525;-6.375642;39.468283;39.467383;-6.377142;39.467907;-6.37629;Reyes Huertas
Toledo;56.09;Calle;3549;-6.375542;39.468583;39.467983;-6.375842;39.468263;-6.375683;Reyes Huertas
Palencia;66.04;Calle;3535;-6.376942;39.468183;39.467683;-6.377642;39.467894;-6.37729;Reyes Huertas
Arturo Aranguren;159.11;Calle;3558;-6.376942;39.468383;39.467083;-6.378042;39.467702;-6.377576;Reyes Huertas
Leo;242.23;Calle;3390;-6.393042;39.474783;39.473883;-6.395642;39.474331;-6.394333;R-66-A (El Arco)
Manuel Pacheco;507.45;Calle;3123;-6.395642;39.474483;39.471483;-6.399442;39.473369;-6.396438;Los Castellanos
Rafael Alberti;315.26;Calle;3106;-6.396242;39.473783;39.471283;-6.397842;39.472814;-6.396598;Los Castellanos
Claudio Rodriguez;348.4;Calle;3105;-6.397242;39.473183;39.470983;-6.399542;39.472466;-6.397553;Los Castellanos
Luis Alvarez Lencero;305.81;Calle;3225;-6.397642;39.472883;39.470883;-6.399542;39.471681;-6.397884;Los Castellanos
Roa Bastos;277.66;Calle;3456;-6.395542;39.471383;39.469383;-6.396642;39.47011;-6.395734;Los Castellanos
Doñana;428.11;Calle;3605;-6.392142;39.471883;39.469883;-6.394342;39.470683;-6.393969;El Vivero
De Gante;72.35;Plaza;665;-6.381042;39.472783;39.472383;-6.381342;39.472576;-6.381194;La Madrila
Napoles;72.13;Calle;338;-6.381242;39.473083;39.472583;-6.381942;39.472811;-6.381603;La Madrila
Gabino Muriel;129.51;Calle;3114;-6.379042;39.466983;39.466183;-6.380342;39.466631;-6.379627;Los Fratres
Juan Xxiii;501;Calle;268;-6.382042;39.469083;39.464983;-6.384942;39.467074;-6.383306;El Perú
Almirante Solano Bote;182.33;Calle;20;-6.383242;39.465183;39.464283;-6.385242;39.464761;-6.384195;El Perú
De Alemania;909.36;Avda;1219;-6.379242;39.468283;39.461083;-6.384442;39.46502;-6.381675;Los Fratres
Badajoz;119.07;Calle;3562;-6.376342;39.468383;39.467483;-6.377342;39.467919;-6.376812;Reyes Huertas
San Anton;138.26;Calle;1161;-6.374942;39.473483;39.472483;-6.376142;39.472998;-6.375517;San Juan
Joselito Romero;290.48;Calle;3131;-6.377642;39.482283;39.480083;-6.379042;39.481465;-6.377872;La Zambomba
Tomas De La Huerta;106.91;Calle;507;-6.377942;39.478983;39.478283;-6.379042;39.47864;-6.378455;Aguas Vivas
Fernando De Magallanes;326.23;Calle;2397;-6.346742;39.379483;39.379183;-6.350442;39.379271;-6.348573;Valdesalor
Suiza;100.22;Calle;3623;-6.381942;39.462983;39.462483;-6.382942;39.462723;-6.382493;Los Fratres
Lisboa;45.02;Calle;281;-6.381142;39.472483;39.472083;-6.381642;39.472319;-6.381366;La Madrila
Manuel Alvar Lopez;464.01;Calle;3913;-6.350742;39.473983;39.473683;-6.356242;39.473833;-6.353168;Residencial Universidad
Isla De La Toja;337.45;Calle;3744;-6.386842;39.475983;39.473483;-6.389042;39.474826;-6.387479;R-66-B (Parque del Príncipe)
Isla De Creta;100.67;Calle;3596;-6.388142;39.473283;39.472883;-6.389342;39.473097;-6.388718;R-66-B (Parque del Príncipe)
Santa Joaquina De Vedruna;306.28;Calle;977;-6.379342;39.470883;39.469783;-6.381942;39.469972;-6.380362;Virgen de Guadalupe
Fuente Rocha;275.63;Ronda;1496;-6.366742;39.474483;39.472583;-6.367942;39.473508;-6.367419;San Marquino
La Roche Sur Yon;392.85;Calle;1962;-6.367142;39.460983;39.459883;-6.371342;39.460893;-6.369278;Espíritu Santo
Rio Darro;58.08;Calle;1471;-6.368642;39.461283;39.461083;-6.369342;39.461129;-6.368967;Espíritu Santo
Atahualpa;348.33;Calle;65;-6.375342;39.463483;39.463083;-6.379342;39.463209;-6.37728;Moctezuma
Mulhacen;127.35;Calle;3532;-6.376442;39.463583;39.463383;-6.377942;39.463454;-6.376945;Moctezuma
De Los Pilares;803.92;Avda;3619;-6.372342;39.466183;39.462483;-6.375742;39.464206;-6.373976;El Rodeo
Emilio Herrero;86.92;Calle;174;-6.374842;39.465283;39.464883;-6.375842;39.465076;-6.375373;El Rodeo
Inocencio Jimenez;86.96;Calle;254;-6.375542;39.465983;39.465483;-6.376442;39.465739;-6.376034;El Rodeo
Teide;134.33;Calle;3548;-6.376442;39.464783;39.463483;-6.376742;39.464113;-6.376618;Moctezuma
Aneto;119.8;Calle;3500;-6.377342;39.464583;39.463383;-6.377642;39.463944;-6.377508;Moctezuma
Huaina Capac;189.85;Calle;3302;-6.377242;39.465383;39.464483;-6.378142;39.465021;-6.377351;Moctezuma
Irlanda;217.5;Calle;3429;-6.380142;39.462783;39.460983;-6.381542;39.461971;-6.380731;Los Fratres
Las Garcillas;164.88;Calle;4092;-6.374242;39.488883;39.488683;-6.376242;39.488766;-6.37525;Montesol
Las Avutardas;383.49;Calle;4094;-6.376042;39.489783;39.486183;-6.376442;39.487906;-6.376282;Montesol
Juan Ramon Jimenez;257.91;Calle;4034;-6.368942;39.491283;39.490983;-6.372042;39.491104;-6.370267;Ronda
Dalia;1559.64;Calle;4145;-6.398142;39.467683;39.461683;-6.407242;39.461769;-6.400601;El Junquillo
Tales De Mileto;198.82;Calle;4172;-6.349842;39.492683;39.491383;-6.351742;39.49203;-6.35078;Nueva Ciudad
Seneca;423.63;Calle;4169;-6.351442;39.492883;39.489983;-6.354942;39.491313;-6.353283;Nueva Ciudad
Heraclito;261.78;Calle;4171;-6.353342;39.490483;39.488783;-6.355742;39.489674;-6.354532;Nueva Ciudad
Jose Redondo;287.11;Calle;3139;-6.376142;39.481883;39.480783;-6.377542;39.480986;-6.377402;La Zambomba
Azucena;698.1;Calle;3463;-6.399142;39.465983;39.464683;-6.406942;39.465914;-6.402667;El Junquillo
Platon;302.64;Calle;4166;-6.350742;39.492083;39.489883;-6.353142;39.490993;-6.351924;Nueva Ciudad
De La Montaña;2254.33;Ctra;1024;-6.350742;39.472983;39.461283;-6.366542;39.467005;-6.357157;San Marquino
El Brocense;571.08;Avda;1142;-6.371042;39.469383;39.465083;-6.373342;39.467305;-6.371558;Hernández Pacheco
Maladeta;118.15;Calle;3524;-6.376642;39.464783;39.464383;-6.378042;39.464559;-6.377241;Moctezuma
Isabel De Moctezuma;595.15;Avda;1635;-6.379042;39.466283;39.460883;-6.379642;39.463597;-6.379322;Moctezuma
Gran Bretaña;536.99;Calle;3428;-6.379742;39.466783;39.462483;-6.382942;39.46474;-6.381267;Los Fratres
Paises Bajos;271.52;Calle;3432;-6.379342;39.463583;39.462283;-6.382242;39.462935;-6.380707;Los Fratres
Sargento Serrano Leite;85.95;Calle;469;-6.375442;39.465883;39.465383;-6.376342;39.46561;-6.375911;El Rodeo
Arbolito;126.82;Calle;53;-6.373342;39.461583;39.461383;-6.374742;39.461477;-6.374009;La Bondad
Cerandeo;54.84;Calle;121;-6.374042;39.461683;39.461483;-6.374742;39.461594;-6.374388;La Bondad
